dsid,job_title,experience_level,work_year,salary,salary_currency,salary_in_usd
548,Data Analyst,SE,2022,99050,USD,99050
549,Data Engineer,SE,2022,160000,USD,160000
550,Data Scientist,SE,2022,205300,USD,205300
551,Data Scientist,SE,2022,140400,USD,140400
552,Data Scientist,SE,2022,176000,USD,176000
553,Data Scientist,SE,2022,144000,USD,144000
554,Data Engineer,SE,2022,200100,USD,200100
555,Data Engineer,SE,2022,160000,USD,160000
556,Data Engineer,SE,2022,145000,USD,145000
557,Data Engineer,SE,2022,70500,USD,70500
558,Data Scientist,SE,2022,205300,USD,205300
559,Data Scientist,SE,2022,140400,USD,140400
560,Analytics Engineer,SE,2022,205300,USD,205300
561,Analytics Engineer,SE,2022,184700,USD,184700
562,Data Engineer,SE,2022,175100,USD,175100
563,Data Engineer,SE,2022,140250,USD,140250
564,Data Analyst,SE,2022,116150,USD,116150
565,Data Engineer,SE,2022,54000,USD,54000
566,Data Analyst,SE,2022,170000,USD,170000
567,Data Analyst,MI,2022,50000,GBP,65438
568,Data Analyst,SE,2022,80000,USD,80000
569,Data Scientist,SE,2022,140000,USD,140000
570,Data Scientist,SE,2022,210000,USD,210000
571,Data Scientist,SE,2022,140000,USD,140000
572,Data Analyst,SE,2022,100000,USD,100000
573,Data Analyst,SE,2022,69000,USD,69000
574,Data Scientist,SE,2022,210000,USD,210000
575,Data Scientist,SE,2022,140000,USD,140000
576,Data Scientist,SE,2022,210000,USD,210000
577,Data Analyst,SE,2022,150075,USD,150075
578,Data Engineer,SE,2022,100000,USD,100000
579,Data Engineer,SE,2022,25000,USD,25000
580,Data Analyst,SE,2022,126500,USD,126500
581,Data Analyst,SE,2022,106260,USD,106260
582,Data Engineer,SE,2022,220110,USD,220110
583,Data Engineer,SE,2022,160080,USD,160080
584,Data Analyst,SE,2022,105000,USD,105000
585,Data Analyst,SE,2022,110925,USD,110925
586,Data Analyst,MI,2022,35000,GBP,45807
587,Data Scientist,SE,2022,140000,USD,140000
588,Data Analyst,SE,2022,99000,USD,99000
589,Data Analyst,SE,2022,60000,USD,60000
590,Data Architect,SE,2022,192564,USD,192564
591,Data Architect,SE,2022,144854,USD,144854
592,Data Scientist,SE,2022,230000,USD,230000
593,Data Scientist,SE,2022,150000,USD,150000
594,Data Analytics Manager,SE,2022,150260,USD,150260
595,Data Analytics Manager,SE,2022,109280,USD,109280
596,Data Scientist,SE,2022,210000,USD,210000
597,Data Analyst,SE,2022,170000,USD,170000
598,Data Scientist,MI,2022,160000,USD,160000
599,Data Scientist,MI,2022,130000,USD,130000
600,Data Analyst,EN,2022,67000,USD,67000
601,Data Analyst,EN,2022,52000,USD,52000
602,Data Engineer,SE,2022,154000,USD,154000
603,Data Engineer,SE,2022,126000,USD,126000
604,Data Analyst,SE,2022,129000,USD,129000
605,Data Analyst,SE,2022,150000,USD,150000
606,AI Scientist,MI,2022,200000,USD,200000
